"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3167","User registration with correct email, username and password","LMS system","2026-09-11","passed","2026-09-11","Registration","Authentication","",""
"","2140","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4417","Create course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2083","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","6007","Edit course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","3283","Check displaying of empty courses list","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2900","Navigation from login page to registration page","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","3056","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2582","Check displaying of empty courses list","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2590","Enable course creation after filling valid form","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","3310","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","1905","Test displaying of dashboard page","LMS system","2026-09-11","passed","2026-09-11","Dashboard","Dashboard","",""
"","1923","Navigation from login page to registration page","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","1454","Check displaying of empty courses list","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","5545","User registration with correct email, username and password","LMS system","2026-09-11","passed","2026-09-11","Registration","Authentication","",""
"","7592","User login with correct email and password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4758","Edit course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2776","User registration with correct email, username and password","LMS system","2026-09-11","passed","2026-09-11","Registration","Authentication","",""
"","2150","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2259","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2111","Test displaying of dashboard page","LMS system","2026-09-11","passed","2026-09-11","Dashboard","Dashboard","",""
"","1626","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","16799","User login with correct email and password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4974","Create course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","4454","Create course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","5260","User login with correct email and password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","9049","Edit course","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","1675","Navigation from login page to registration page","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","2509","Test displaying of dashboard page","LMS system","2026-09-11","passed","2026-09-11","Dashboard","Dashboard","",""
"","3023","Enable course creation after filling valid form","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
"","2167","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","1404","User login with wrong email or password","LMS system","2026-09-11","passed","2026-09-11","Authorization","Authentication","",""
"","4105","Enable course creation after filling valid form","LMS system","2026-09-11","passed","2026-09-11","Courses","Courses","",""
