"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","683","Navigation from login page to registration page","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","2385","User login with correct email and password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1493","Create course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1085","User registration with correct email, username and password","LMS system","2026-09-07","passed","2026-09-07","Registration","Authentication","",""
"","1873","Open courses page","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1805","Create course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1155","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","905","Navigation from login page to registration page","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","748","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1338","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","2350","Edit course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1150","User registration with correct email, username and password","LMS system","2026-09-07","passed","2026-09-07","Registration","Authentication","",""
"","931","Check displaying of empty courses list","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1384","Test displaying of dashboard page","LMS system","2026-09-07","passed","2026-09-07","Dashboard","Dashboard","",""
"","842","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1441","Open courses page","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1151","Check displaying of empty courses list","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","3414","Edit course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1273","Navigation from login page to registration page","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1165","Enable course creation after filling valid form","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1009","Test displaying of dashboard page","LMS system","2026-09-07","passed","2026-09-07","Dashboard","Dashboard","",""
"","2785","Edit course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1321","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1502","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1297","Enable course creation after filling valid form","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1651","User registration with correct email, username and password","LMS system","2026-09-07","passed","2026-09-07","Registration","Authentication","",""
"","5770","User login with correct email and password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","797","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1723","User login with correct email and password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1195","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1755","Open courses page","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1367","Test displaying of dashboard page","LMS system","2026-09-07","passed","2026-09-07","Dashboard","Dashboard","",""
"","852","Enable course creation after filling valid form","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1511","Create course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","629","Check displaying of empty courses list","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1065","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
