"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2391","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","3834","Enable course creation after filling valid form","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","1986","Check displaying of empty courses list","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","2936","Test displaying of dashboard page","LMS system","2026-09-09","passed","2026-09-09","Dashboard","Dashboard","",""
"","2367","Check displaying of empty courses list","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","3126","Enable course creation after filling valid form","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","8393","Edit course","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","3853","Create course","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","4509","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2195","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2206","Navigation from login page to registration page","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","4083","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2851","User registration with correct email, username and password","LMS system","2026-09-09","passed","2026-09-09","Registration","Authentication","",""
"","5149","User registration with correct email, username and password","LMS system","2026-09-09","passed","2026-09-09","Registration","Authentication","",""
"","4769","Edit course","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","4419","Create course","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","2132","Test displaying of dashboard page","LMS system","2026-09-09","passed","2026-09-09","Dashboard","Dashboard","",""
"","1904","Test displaying of dashboard page","LMS system","2026-09-09","passed","2026-09-09","Dashboard","Dashboard","",""
"","3391","User registration with correct email, username and password","LMS system","2026-09-09","passed","2026-09-09","Registration","Authentication","",""
"","1708","Navigation from login page to registration page","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2380","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2714","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2212","Check displaying of empty courses list","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","5590","Edit course","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","2263","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2143","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","5834","User login with correct email and password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","14310","User login with correct email and password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","1873","Create course","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","4107","User login with wrong email or password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","3160","Navigation from login page to registration page","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
"","2980","Enable course creation after filling valid form","LMS system","2026-09-09","passed","2026-09-09","Courses","Courses","",""
"","4929","User login with correct email and password","LMS system","2026-09-09","passed","2026-09-09","Authorization","Authentication","",""
