"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","861","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1794","User login with correct email and password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1234","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1219","Test displaying of dashboard page","LMS system","2026-09-07","passed","2026-09-07","Dashboard","Dashboard","",""
"","1554","User registration with correct email, username and password","LMS system","2026-09-07","passed","2026-09-07","Registration","Authentication","",""
"","2795","Edit course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1248","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1553","User registration with correct email, username and password","LMS system","2026-09-07","passed","2026-09-07","Registration","Authentication","",""
"","1078","User registration with correct email, username and password","LMS system","2026-09-07","passed","2026-09-07","Registration","Authentication","",""
"","798","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","956","Navigation from login page to registration page","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1458","Create course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1290","Test displaying of dashboard page","LMS system","2026-09-07","passed","2026-09-07","Dashboard","Dashboard","",""
"","1146","Check displaying of empty courses list","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","983","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","3271","Edit course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","2275","Edit course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1652","Create course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","918","Check displaying of empty courses list","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","5554","User login with correct email and password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1481","Create course","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
"","1227","Navigation from login page to registration page","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","826","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1052","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1280","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","2270","User login with correct email and password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","1196","User login with wrong email or password","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","651","Navigation from login page to registration page","LMS system","2026-09-07","passed","2026-09-07","Authorization","Authentication","",""
"","980","Test displaying of dashboard page","LMS system","2026-09-07","passed","2026-09-07","Dashboard","Dashboard","",""
"","639","Check displaying of empty courses list","LMS system","2026-09-07","passed","2026-09-07","Courses","Courses","",""
